ID,DSC,ORDER,KM,CCW,CW,CCW_BRANCH,CW_BRANCH,CHENG_ZHUI_CCW,CHENG_ZHUI_CW,CCW_KM,CW_KM,CCW_BRANCH_KM,CW_BRANCH_KM,CHENG_ZHUI_CCW_KM,CHENG_ZHUI_CW_KM
7260,大溪,202,834.8,7270,7250,,,,,4.7,4.6,,,,
7270,大里,203,839.5,7280,7260,,,,,2.7,4.7,,,,
7280,石城,204,842.2,7290,7270,,,,,5.4,2.7,,,,
7290,福隆,205,847.6,7300,7280,,,,,3.7,5.4,,,,
7300,貢寮,206,851.3,7310,7290,,,,,5.4,3.7,,,,
7310,雙溪,207,856.7,7320,7300,,,,,3.3,5.4,,,,
7320,牡丹,208,860,7330,7310,,,,,3.6,3.3,,,,
7330,三貂嶺,209,863.6,7350,7320,,7331,,,2.5,3.6,,3.5,,
7350,侯硐,210,866.1,7360,7330,,,,,4.6,2.5,,,,
7360,瑞芳,211,870.7,7380,7350,7361,,,,5,4.6,4.2,,,
7380,四腳亭,222,875.7,7390,7360,,,,,2.3,5,,,,
7390,暖暖,223,878,0920,7380,,,,,1.6,2.3,,,,
1191,千甲,,,1190,1192,,,,,2.2,3,,,,
1192,新莊,,,1191,1193,,,,,3,1.3,,,,
1193,竹中,,,1192,1201,,1194,,,1.3,2.6,,3.1,,
1194,六家,,,1193,,,,,,3.1,,,,,
1201,上員,,,1193,1202,,,,,2.6,4.5,,,,
1202,榮華,,,1201,1203,,,,,4.5,1.6,,,,
1203,竹東,,,1202,1204,,,,,1.6,3.4,,,,
1204,橫山,,,1203,1205,,,,,3.4,2.2,,,,
1205,九讚頭,,,1204,1206,,,,,2.2,2.2,,,,
1206,合興,,,1205,1207,,,,,2.2,1.3,,,,
1207,富貴,,,1206,1208,,,,,1.3,2.2,,,,
1208,內灣,,,1207,,,,,,2.2,0,,,,
7362,八斗子,0,,,7361,,,,,0,0.5,,,,
7361,海科館,0.5,,7362,7360,,,,,0.5,4.2,,,,
7331,大華,15.7,,7330,7332,,,,,3.5,2.9,,,,
7332,十分,18.6,,7331,7333,,,,,2.9,1.8,,,,
7333,望古,20.4,,7332,7334,,,,,1.8,2,,,,
7334,嶺腳,22.4,,7333,7335,,,,,2,1,,,,
7335,平溪,23.4,,7334,7336,,,,,1,1.7,,,,
7336,菁桐,25.1,,7335,,,,,,1.7,0,,,,
3431,源泉,2.9,,3432,3430,,,,,7.9,2.9,,,,
3432,濁水,10.8,,3433,3431,,,,,4.9,7.9,,,,
3433,龍泉,15.7,,3434,3432,,,,,4.4,4.9,,,,
3434,集集,20.1,,3435,3433,,,,,7.3,4.4,,,,
3435,水里,27.4,,3436,3434,,,,,2.3,7.3,,,,
3436,車埕,29.7,,,3435,,,,,,2.3,,,,
4271,長榮大學,2.6,,4272,4270,,,,,2.7,2.6,,,,
4272,沙崙,5.3,,,4271,,,,,,2.7,,,,
