time,ax,ax1
05:22:00,322,644
05:22:30,322.5,645
05:23:00,323,646
05:23:30,323.5,647
05:24:00,324,648
05:24:30,324.5,649
05:25:00,325,650
05:25:30,325.5,651
05:26:00,326,652
05:26:30,326.5,653
05:27:00,327,654
05:27:30,327.5,655
05:28:00,328,656
05:28:30,328.5,657
05:29:00,329,658
05:29:30,329.5,659
05:30:00,330,660
05:30:30,330.5,661
05:31:00,331,662
05:31:30,331.5,663
05:32:00,332,664
05:32:30,332.5,665
05:33:00,333,666
05:33:30,333.5,667
05:34:00,334,668
05:34:30,334.5,669
05:35:00,335,670
05:35:30,335.5,671
05:36:00,336,672
05:36:30,336.5,673
05:37:00,337,674
05:37:30,337.5,675
05:38:00,338,676
05:38:30,338.5,677
05:39:00,339,678
05:39:30,339.5,679
05:40:00,340,680
05:40:30,340.5,681
05:41:00,341,682
05:41:30,341.5,683
05:42:00,342,684
05:42:30,342.5,685
05:43:00,343,686
05:43:30,343.5,687
05:44:00,344,688
05:44:30,344.5,689
05:45:00,345,690
05:45:30,345.5,691
05:46:00,346,692
05:46:30,346.5,693
05:47:00,347,694
05:47:30,347.5,695
05:48:00,348,696
05:48:30,348.5,697
05:49:00,349,698
05:49:30,349.5,699
05:50:00,350,700
05:50:30,350.5,701
05:51:00,351,702
05:51:30,351.5,703
05:52:00,352,704
05:52:30,352.5,705
05:53:00,353,706
05:53:30,353.5,707
05:54:00,354,708
05:54:30,354.5,709
05:55:00,355,710
05:55:30,355.5,711
05:56:00,356,712
05:56:30,356.5,713
05:57:00,357,714
05:57:30,357.5,715
05:58:00,358,716
05:58:30,358.5,717
05:59:00,359,718
05:59:30,359.5,719
06:00:00,360,720
06:00:30,360.5,721
06:01:00,361,722
06:01:30,361.5,723
06:02:00,362,724
06:02:30,362.5,725
06:03:00,363,726
06:03:30,363.5,727
06:04:00,364,728
06:04:30,364.5,729
06:05:00,365,730
06:05:30,365.5,731
06:06:00,366,732
06:06:30,366.5,733
06:07:00,367,734
06:07:30,367.5,735
06:08:00,368,736
06:08:30,368.5,737
06:09:00,369,738
06:09:30,369.5,739
06:10:00,370,740
06:10:30,370.5,741
06:11:00,371,742
06:11:30,371.5,743
